product_category,total_orders,total_revenue,total_items_sold
health_beauty,8647,1412089.53,9465
watches_gifts,5495,1264333.12,5859
bed_bath_table,9272,1225209.26,10953
sports_leisure,7530,1118256.91,8431
computers_accessories,6530,1032723.77,7644
furniture_decor,6307,880329.92,8160
housewares,5743,758392.25,6795
cool_stuff,3559,691680.89,3718
auto,3810,669454.75,4140
garden_tools,3448,567145.68,4268
toys,3804,547061.06,4030
baby,2809,466727.65,2982
perfumery,3086,443171.63,3340
telephony,4093,379202.62,4430
office_furniture,1254,335211.36,1668
stationery,2264,269575.05,2466
pet_shop,1688,250614.2,1924
computers,177,228349.76,199
unknown,1412,203353.84,1559
musical_instruments,611,202187.12,651
electronics,2517,200723.09,2729
small_appliances,609,198108.47,658
fashion_bags_accessories,1820,179888.29,1985
luggage_accessories,1019,168778.12,1077
consoles_games,1018,167097.73,1089
construction_tools_construction,736,162382.01,916
home_appliances_2,227,118208.52,231
home_construction,483,95022.37,596
home_appliances,747,93301.78,754
furniture_living_room,414,85045.06999999999,495
agro_industry_and_commerce,177,76203.3,206
home_confort,392,66438.22,429
air_conditioning,246,59854.55,289
fixed_telephony,212,59816.54,255
kitchen_dining_laundry_garden_furniture,241,57072.97,274
audio,348,56255.32,362
books_general_interest,496,54182.54,537
small_appliances_home_oven_and_coffee,72,49245.9,73
construction_tools_lights,242,47447.14,301
industry_commerce_and_business,232,46079.34,265
construction_tools_safety,159,42504.02,183
food,441,35794.68,499
market_place,274,33114.38,305
costruction_tools_garden,190,30283.94,232
fashion_shoes,235,27814.829999999998,257
signaling_and_security,138,27792.59,197
art,195,27485.53,197
drinks,287,26971.11,361
furniture_bedroom,90,23379.22,103
books_technical,256,22901.07,263
food_drink,221,19337.77,269
costruction_tools_tools,97,17934.170000000002,103
fashion_male_clothing,106,12514.95,125
christmas_supplies,125,11928.75,150
fashion_underwear_beach,117,11160.02,127
tablets_printing_image,79,8754.61,83
cine_photo,63,7902.18,70
music,38,6724.860000000001,38
furniture_mattress_and_upholstery,37,5904.75,37
dvds_blu_ray,56,5769.84,61
party_supplies,38,5285.38,42
books_imported,50,5150.94,57
fashio_female_clothing,36,3218.44,45
fashion_sport,26,2657.55,29
la_cuisine,13,2388.54,14
arts_and_craftmanship,23,2184.1400000000003,24
diapers_and_hygiene,25,2046.19,37
flowers,29,1598.91,33
home_comfort_2,24,1170.58,30
cds_dvds_musicals,12,954.99,14
fashion_childrens_clothes,7,598.67,7
security_and_services,2,324.51,2
